Latitude,Longitude
-23.646028323597214,-46.52768705638294
-23.645987536865523,-46.52771162541602
-23.64594675013383,-46.527736194449105
-23.64590596340214,-46.527760763482185
-23.645865176670448,-46.527785332515265
-23.645824389938756,-46.52780990154835
-23.645783603207065,-46.52783447058143
-23.645742816475373,-46.52785903961452
-23.64570202974368,-46.5278836086476
-23.64566124301199,-46.52790817768068
-23.645620456280298,-46.527932746713766
-23.645579669548606,-46.527957315746846
-23.645538882816915,-46.527981884779926
-23.645498096085223,-46.52800645381301
-23.64545730935353,-46.52803102284609
-23.64541652262184,-46.52805559187917
-23.64537573589015,-46.52808016091226
-23.645334949158457,-46.52810472994534
-23.645294162426765,-46.52812929897842
-23.645253375695074,-46.52815386801151
-23.645212588963382,-46.52817843704459
-23.64517180223169,-46.528203006077675
-23.6451310155,-46.528227575110755
-23.645090228768307,-46.528252144143835
-23.645049442036616,-46.52827671317692
-23.64500865530492,-46.52830128221
-23.64496786857323,-46.52832585124308
-23.644927081841537,-46.52835042027617
-23.644886295109846,-46.52837498930925
-23.644845508378154,-46.52839955834233
-23.644804721646462,-46.528424127375416
-23.64476393491477,-46.528448696408496
-23.64472314818308,-46.52847326544158
-23.644682361451387,-46.52849783447466
-23.644641574719696,-46.52852240350774
-23.644600787988004,-46.52854697254083
-23.644560001256313,-46.52857154157391
-23.64451921452462,-46.52859611060699
-23.64447842779293,-46.52862067964008
-23.644437641061238,-46.52864524867316
-23.644396854329546,-46.52866981770624
-23.644356067597855,-46.528694386739325
-23.644315280866163,-46.528718955772405
-23.64427449413447,-46.528743524805485
-23.64423370740278,-46.52876809383857
-23.644192920671088,-46.52879266287165
-23.644152133939397,-46.52881723190474
-23.644111347207705,-46.52884180093782
-23.644070560476013,-46.5288663699709
-23.64402977374432,-46.528890939003986
-23.64398898701263,-46.528915508037066
-23.64398898701263,-46.528915508037066
-23.64398168469823,-46.52888577374044
-23.64397438238383,-46.52885603944381
-23.64396708006943,-46.528826305147184
-23.64395977775503,-46.52879657085055
-23.64395247544063,-46.52876683655393
-23.64394517312623,-46.528737102257296
-23.64393787081183,-46.52870736796067
-23.64393056849743,-46.52867763366404
-23.64392326618303,-46.528647899367414
-23.64391596386863,-46.52861816507078
-23.64390866155423,-46.52858843077416
-23.64390135923983,-46.528558696477525
-23.64389405692543,-46.5285289621809
-23.643886754611028,-46.52849922788427
-23.64387945229663,-46.52846949358764
-23.64387214998223,-46.52843975929101
-23.643864847667828,-46.528410024994386
-23.64385754535343,-46.528380290697754
-23.64385024303903,-46.52835055640113
-23.643842940724628,-46.5283208221045
-23.64383563841023,-46.52829108780787
-23.64382833609583,-46.52826135351124
-23.64382103378143,-46.528231619214615
-23.64381373146703,-46.52820188491798
-23.64380642915263,-46.52817215062136
-23.64379912683823,-46.528142416324734
-23.64379182452383,-46.5281126820281
-23.64378452220943,-46.52808294773148
-23.64377721989503,-46.528053213434845
-23.64376991758063,-46.52802347913822
-23.64376261526623,-46.52799374484159
-23.64375531295183,-46.52796401054496
-23.64374801063743,-46.52793427624833
-23.64374070832303,-46.527904541951706
-23.64373340600863,-46.527874807655074
-23.64372610369423,-46.52784507335845
-23.64371880137983,-46.52781533906182
-23.64371149906543,-46.52778560476519
-23.643704196751028,-46.52775587046856
-23.64369689443663,-46.527726136171935
-23.64368959212223,-46.5276964018753
-23.643682289807828,-46.52766666757868
-23.64367498749343,-46.52763693328205
-23.64366768517903,-46.52760719898542
-23.643660382864628,-46.52757746468879
-23.64365308055023,-46.527547730392165
-23.64364577823583,-46.52751799609553
-23.643638475921428,-46.52748826179891
-23.64363117360703,-46.527458527502276
