ID,Latitude,Longitude,Block,Level,Parent,State,Details
0,-37.8136,144.9631,0,0,-1,VIC,DataCenter
1,-37.813946,144.954633,1,1,0,VIC,Block1 Proxy
2,-37.816762,144.955915,2,1,0,VIC,Block2 Proxy
14,-37.81524,144.95256,1,2,1,VIC,gateway
20,-37.81285,144.955026,1,2,1,MOB,gateway
56,-37.812799,144.954686,1,2,1,MOB,gateway
57,-37.811928,144.956414,1,2,1,MOB,gateway
59,-37.814431,144.954653,1,2,1,MOB,gateway
61,-37.816467,144.958334,1,2,2,MOB,gateway
66,-37.813963,144.957301,1,2,1,MOB,gateway
80,-37.812653,144.956622,1,2,1,MOB,gateway
93,-37.812934,144.952075,1,2,1,MOB,gateway
94,-37.812343,144.954135,1,2,1,MOB,gateway
104,-37.814905,144.954913,1,2,1,MOB,gateway
105,-37.812379,144.956402,1,2,1,MOB,gateway
130,-37.813175,144.952919,1,2,1,MOB,Mobile node
23,-37.818202,144.954367,2,2,2,VIC,625 Lt Collins St MELBOURNE
25,-37.815975,144.955905,2,2,2,VIC,Bourke Place 600 Bourke Street MELBOURNE
26,-37.815493,144.956714,2,2,2,VIC,Marland House 570 Bourke Street MELBOURNE
61,-37.816467,144.958334,2,2,2,VIC,Optus Site BHP House 140 William Street MELBOURNE
64,-37.81607,144.957254,2,2,2,VIC,Optus Site Minicell - Bourke & William 121 William St MELBOURNE
67,-37.817779,144.955969,2,2,2,VIC,99 King Street MELBOURNE
120,-37.815858,144.954818,2,2,2,MOB,Citipower House 628 Bourke Street MELBOURNE
